source,target
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Guidelines for infection prevention/ control 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Gumboots or clogs 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Gynaecology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Had isolation for contagious diseases? 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Had TB isolation ward? 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Haematology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Hand washing soap 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Hepatitis test 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Hospice & Palliative care 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Infection prevention/control committee/in-charge 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Infectious diseases 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Level 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Malaria smear 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Mammography 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Medical waste disposal equipment 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Methods of disposing sharps 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Nephrology & renal medicine 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Neurology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,No smoking policy  
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Non-infectious waste bin 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Nuclear medicine 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of beds 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of Caesareaan sections 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of functional ambulances/ emergency vehicles 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of inpatient Admissions 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of maternal deaths 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Number of OPD attendees 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Obstetrics 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Oncology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Opthalmology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Oral Health 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Organ tissue waste bin 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Orthopaedics 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Otolaryngology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Otolaryngoscopy 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Paediatrics 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Physical rehabilitation 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Psychiatry 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Pulmonary medicine 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Radiotherapy 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Renal dialysis 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Rheumatology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Safety shower 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Sharps container 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,TB diagnostic test 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Test for syphillis 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Tuberculosis services 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Type of facility 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Ultrasonography 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Urine microscopy 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Urology 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Wet mount microscopy 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,X-ray 
" Percentage of MDAs and LGs  with policies, plans and budgets that promote gender equity and  equality",Contributing MDA
" Percentage of MDAs and LGs  with policies, plans and budgets that promote gender equity and  equality",Responsible MDA
 Percentage of the population aged 20-24 who were married or in a union before age 18 (i.e. child marriage) by sex. ,"monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
"Crude  Marriage
Rate","monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
Existence of independent national human rights institutions in compliance with the Paris Principles,Baseline
Existence of independent national human rights institutions in compliance with the Paris Principles,Human rights education and outreachprograms
"General Marriage
Rate","monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
"Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
National Identification Coverage,Means of verification
National Identification Coverage,Thematic area
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Status of implementation
"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",Human rights education and outreachprograms
Number of countries with mechanisms in place to enhance policy coherence of sustainable development,Mechanism and year
Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Target
Number of health facilities,Places of detention and health centers
"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",Places of detention and health centers
"Population of
Prisoners",Places of detention and health centers
Proportion of members and voting rights of developing countries in international organizations,Monitoring of national election process
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Human rights education and outreachprograms
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Number of complaints
"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months","monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",Indicator
"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",Target
Proportion of the population living within a 5km radius of a health facility,Places of detention and health centers
Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Mechanism and year
Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Number of complaints
Singulate Mean Age at Marriage (SMAM),"monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
Unsentenced detainees as a proportion of overall prison population,Places of detention and health centers
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Baseline
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Human rights education and outreachprograms
,"monitoring of several human rights situations including child marriages, alcohol and illicit drug abuse  by youth and children, post and cordon search disarmament in the Karamoja region, strikes in universities, plight of unaccompanied refugee minors and the state of maternal and reproductive health service delivery in selected health facilities"
,Places of detention and health centers
,Indicator
,Recommendation
,Next state report deadline
,Monitoring of national election process
 Average time taken to & fro the water (safe) supply point by sex of household head (mins).,Water Source Location - rural
 Average time taken to & fro the water (safe) supply point by sex of household head (mins).,Water Source Location - urban
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Period of water source construction
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Source of funding for the water source
Change in water-use efficiency over time,Reasons  (explained) for water source not functioning
Change in water-use efficiency over time,Reasons for water source not functioning
Change in water-use efficiency over time,Water source functionality
Change in water-use efficiency over time,Water source last functionality
Change in water-use efficiency over time,Water source last repair
Change in water-use efficiency over time,Water source last repair  (details)
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Management of watersource
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Water and Sanitation Committee  (WSC) active members
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Water and Sanitation Committee  (WSC) established
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Water and Sanitation Committee  (WSC) functionality
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Water and Sanitation Committee  (WSC) members
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Water and Sanitation Committee  (WSC) reasons for not functioning
Decrease in level of pollutionof large water bodies,Reasons  (explained) for water source not functioning
Decrease in level of pollutionof large water bodies,Reasons for water source not functioning
Decrease in level of pollutionof large water bodies,Water source functionality
Decrease in level of pollutionof large water bodies,Water source last functionality
Decrease in level of pollutionof large water bodies,Water source last repair
Decrease in level of pollutionof large water bodies,Water source last repair  (details)
Degree of integrated water resources management implementation (0-100),Management of watersource
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) active members
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) established
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) functionality
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) members
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) reasons for not functioning
Degree of integrated water resources management implementation (0-100),Water and Sanitation Committee  (WSC) trained
Increase in Rural Access to safewater supply,Number of users of watersource
Increase in Rural Access to safewater supply,Water Source Location - rural
Increase in Urban Access tosafe water in Urban areas,Number of users of watersource
Increase in Urban Access tosafe water in Urban areas,Water Source Location - urban
"Labor force, female (% of total labor force)",No. of women holding key positions in the Water and Sanitation Committee  (WSC)
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) active members
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) established
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) functionality
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) members
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) reasons for not functioning
"Labor force, female (% of total labor force)",Water and Sanitation Committee  (WSC) women members
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Information for District Water Officer  (DWO)
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Management of watersource
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Ownership of watersource
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Water and Sanitation Committee  (WSC) active members
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Water and Sanitation Committee  (WSC) established
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Water and Sanitation Committee  (WSC) functionality
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Water and Sanitation Committee  (WSC) members
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Water and Sanitation Committee  (WSC) reasons for not functioning
"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",Source of funding for the water source
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Water and Sanitation Committee  (WSC) trained
Proportion of bodies of water with good ambient water quality,Type of watersource
Proportion of domestic budget funded by domestic taxes,Source of funding for the water source
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Information for District Water Officer  (DWO)
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Management of watersource
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Ownership of watersource
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water and Sanitation Committee  (WSC) active members
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water and Sanitation Committee  (WSC) established
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water and Sanitation Committee  (WSC) functionality
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water and Sanitation Committee  (WSC) members
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water and Sanitation Committee  (WSC) reasons for not functioning
Proportion of population using safely managed drinking water services,Number of users of watersource
Proportion of women in managerial positions,No. of women holding key positions in the Water and Sanitation Committee  (WSC)
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) active members
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) established
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) functionality
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) members
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) reasons for not functioning
Proportion of women in managerial positions,Water and Sanitation Committee  (WSC) women members
"Proportion
of total water resources used",Type of watersource
Rural safe water coverage (%),Number of users of watersource
Rural safe water coverage (%),Water Source Location - rural
Urban safe water Coverage(%),Number of users of watersource
Urban safe water Coverage(%),Water Source Location - urban
,Reasons  (explained) for water source not functioning
,Reasons for water source not functioning
,Water source functionality
,Water source last functionality
,Water source last repair
,Water source last repair  (details)
,Information for District Water Officer  (DWO)
,Ownership of watersource
,Period of water source construction
National Identification Coverage,Voter names 
National Identification Coverage,Voter's Age 
National Identification Coverage,Voter's Sex 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Constituency 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",District 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Parish 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Polling station 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Sub-County 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Voter's Age 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Voter's Sex 
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",Voter's village 
"Proportion of population living below the national poverty line, by sex and age",Voter's Age 
"Proportion of population living below the national poverty line, by sex and age",Voter's Sex 
 Average time taken to & fro the water (safe) supply point by sex of household head (mins).,Availability of the water source at specific time 
 Average time taken to & fro the water (safe) supply point by sex of household head (mins).,Period to and from water source 
 Average waiting time at the water (safe) supply point by sex of head (mins).,Availability of the water source at specific time 
"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Ownership of a garden 
Access to safe drinking water,Source of drinking water 
"Access to
safe (hygienic)
sanitation facility",Frequency of toilet facilty usage 
"Access to
safe (hygienic)
sanitation facility",Main toilet facilty used 
"Access to
safe (hygienic)
sanitation facility",Number of households that share a toilet facility 
"Access to
safe (hygienic)
sanitation facility",Place to wash  hands 
"Access to
safe (hygienic)
sanitation facility",Place to wash hands - observed 
"Access to
safe (hygienic)
sanitation facility",Toilet facility used  
"Access to
safe (hygienic)
sanitation facility",Toilet facilty sharing 
Bed night available,Usual members who spent the night 
Change in water-use efficiency over time,Availability of the water source 
Change in water-use efficiency over time,Availability of the water source at specific time 
Change in water-use efficiency over time,Uses of the water source 
Change in water-use efficiency over time,Water souces used on a regular basis 
Change in water-use efficiency over time,Water source for other purposes 
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",Household usual member 
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",Relationship to head of household 
"Crude  Marriage
Rate",Marital Status 
Female headed households (% of households with a female head),Eligible female respondent 
"General Marriage
Rate",Marital Status 
"Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",Disposal of under-5 children's fecal waste 
Household latrine coverage (%),Main toilet facilty used 
Household latrine coverage (%),Number of households that share a toilet facility 
Household latrine coverage (%),Toilet facility used  
Household latrine coverage (%),Toilet facilty sharing 
Households hand washing with soap(%),Place to wash  hands 
Households hand washing with soap(%),Place to wash hands - observed 
Increase in Household latrinecoverage (%),Main toilet facilty used 
Increase in Household latrinecoverage (%),Number of households that share a toilet facility 
Increase in Household latrinecoverage (%),Toilet facility used  
Increase in Household latrinecoverage (%),Toilet facilty sharing 
Increase in Rural Access to safewater supply,Availability of the water source 
Increase in Rural Access to safewater supply,Availability of the water source at specific time 
Increase in Rural Access to safewater supply,Uses of the water source 
Increase in Rural Access to safewater supply,Water souces used on a regular basis 
Increase in Rural Access to safewater supply,Water source for other purposes 
Increase in Urban Access tosafe water in Urban areas,Availability of the water source 
Increase in Urban Access tosafe water in Urban areas,Availability of the water source at specific time 
Increase in Urban Access tosafe water in Urban areas,Uses of the water source 
Increase in Urban Access tosafe water in Urban areas,Water souces used on a regular basis 
Increase in Urban Access tosafe water in Urban areas,Water source for other purposes 
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Frequency of toilet facilty usage 
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Main toilet facilty used 
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Number of households that share a toilet facility 
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Toilet facility used  
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Toilet facilty sharing 
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Frequency of toilet facilty usage 
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Main toilet facilty used 
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Number of households that share a toilet facility 
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Toilet facility used  
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Toilet facilty sharing 
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Frequency of toilet facilty usage 
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Main toilet facilty used 
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Number of households that share a toilet facility 
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Toilet facility used  
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Toilet facilty sharing 
People practicing open defecation (% of population),Disposal of under-5 children's fecal waste 
People practicing open defecation (% of population),Number of people regularly using the bush / field at home or at work 
"Population ages 15-64, female",Eligible female respondent 
Proportion of bodies of water with good ambient water quality,Availability of the water source 
Proportion of bodies of water with good ambient water quality,Availability of the water source at specific time 
Proportion of bodies of water with good ambient water quality,Uses of the water source 
Proportion of bodies of water with good ambient water quality,Water souces used on a regular basis 
Proportion of bodies of water with good ambient water quality,Water source for other purposes 
"Proportion of own-account
and contributing family workers in total employment",Household usual member 
"Proportion of own-account
and contributing family workers in total employment",Relationship to head of household 
Proportion of population using safely managed drinking water services,Availability of the water source 
Proportion of population using safely managed drinking water services,Availability of the water source at specific time 
Proportion of population using safely managed drinking water services,Source of drinking water 
Proportion of population using safely managed drinking water services,Uses of the water source 
Proportion of population using safely managed drinking water services,Water souces used on a regular basis 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Availability of the water source 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Availability of the water source at specific time 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Place to wash  hands 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Place to wash hands - observed 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Uses of the water source 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Water souces used on a regular basis 
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Water source for other purposes 
Proportion of the agricultural population owning agricultural land by sex of owner.,Ownership of a garden 
Proportion of the population owning agricultural land by tenure system.,Ownership of a garden 
Proportion of the population owning land,Ownership of a garden 
"Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities",Disposal of under-5 children's fecal waste 
Proportion of women in managerial positions,Eligible female respondent 
"Proportion
of total water resources used",Availability of the water source 
"Proportion
of total water resources used",Availability of the water source at specific time 
"Proportion
of total water resources used",Uses of the water source 
"Proportion
of total water resources used",Water souces used on a regular basis 
"Proportion
of total water resources used",Water source for other purposes 
Rural safe water coverage (%),Availability of the water source 
Rural safe water coverage (%),Availability of the water source at specific time 
Rural safe water coverage (%),Uses of the water source 
Rural safe water coverage (%),Water souces used on a regular basis 
Rural safe water coverage (%),Water source for other purposes 
Singulate Mean Age at Marriage (SMAM),Marital Status 
Urban safe water Coverage(%),Availability of the water source 
Urban safe water Coverage(%),Availability of the water source at specific time 
Urban safe water Coverage(%),Uses of the water source 
Urban safe water Coverage(%),Water souces used on a regular basis 
Urban safe water Coverage(%),Water source for other purposes 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Availability of the water source 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Availability of the water source at specific time 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Source of drinking water 
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Toilet facilty sharing 
,Source of drinking water 
,Frequency of toilet facilty usage 
,Main toilet facilty used 
,Number of households that share a toilet facility 
,Toilet facility used  
,Toilet facilty sharing 
,Ownership of a garden 
,Disposal of under-5 children's fecal waste 
,Household usual member 
,Relationship to head of household 
Agents only allow me to make small transactions,Africa Household and Small Business Access and Usage Survey
Amount of wage bill ,Africa Household and Small Business Access and Usage Survey
Amount received on average per business transaction ,Africa Household and Small Business Access and Usage Survey
Computer used by,Africa Household and Small Business Access and Usage Survey
Amount business is willing and able to spend for a computer,Africa Household and Small Business Access and Usage Survey
Amount business is willing and able to spend on Internet access in a month,Africa Household and Small Business Access and Usage Survey
Amount business would be willing and able to spend on a fixed-line phone in a month,Africa Household and Small Business Access and Usage Survey
"Amount invested during the last 12 months, ",Africa Household and Small Business Access and Usage Survey
Amount sent on average per business transaction ,Africa Household and Small Business Access and Usage Survey
Amount spent Monthly on the Mobile Phone,Africa Household and Small Business Access and Usage Survey
"Amount spent on telephone calls, fax, postage, internet on average",Africa Household and Small Business Access and Usage Survey
Highest formal educational level of the business owners,Africa Household and Small Business Access and Usage Survey
Importance of computer usage for activities,Africa Household and Small Business Access and Usage Survey
Access to internet ,Africa Household and Small Business Access and Usage Survey
Advertise  through Newspapers,Africa Household and Small Business Access and Usage Survey
Advertise  through TV,Africa Household and Small Business Access and Usage Survey
Advertise  through Twitter / Facebook,Africa Household and Small Business Access and Usage Survey
Currently has a business loan from a Bank,Africa Household and Small Business Access and Usage Survey
Advertise through Mobile / SMS,Africa Household and Small Business Access and Usage Survey
Agents are far from my location,Africa Household and Small Business Access and Usage Survey
Agents capacity to hold cash and float are main barriers for businesses,Africa Household and Small Business Access and Usage Survey
Agents' opening hours are not convenient,Africa Household and Small Business Access and Usage Survey
Bank offers mobile Phone banking services,Africa Household and Small Business Access and Usage Survey
Internet benefit-Business understands customers better,Africa Household and Small Business Access and Usage Survey
Location of the most important suppliers,Africa Household and Small Business Access and Usage Survey
Bank offers internet banking services,Africa Household and Small Business Access and Usage Survey
Has an overdraft with the bank,Africa Household and Small Business Access and Usage Survey
Importance of the usage of a fixed-line phone for activities,Africa Household and Small Business Access and Usage Survey
Internet used by ,Africa Household and Small Business Access and Usage Survey
Internet used by: Customers,Africa Household and Small Business Access and Usage Survey
Internet used by: Employees,Africa Household and Small Business Access and Usage Survey
Internet used by: Family and Friends,Africa Household and Small Business Access and Usage Survey
